220.008	12.312
230.004	12.891
229.974	11.838
239.974	9.452
230.022	8.603
230.022	8.048
229.995	8.533
240.026	7.288
230.03	5.62
219.995	4.679
179.995	3.762
149.995	5.689
160.026	7.288
169.997	6.471
160.039	9.266
159.98	8.996
230.008	9.504
180.009	12.195
239.991	13.042
220.008	13.733
219.989	15.27
219.985	16.438
209.997	11.651
189.974	11.838
170.01	12.861
189.996	15.905
220	21.248
249.992	21.783
250.01	15.459
250.02	12.846
259.981	11.817
259.981	13.796
269.981	12.934
280.019	12.995
270.014	11.522
280.01	10.405
279.992	7.461
279.991	6.781
270.029	6.372
259.991	6.376
270.027	8.629
290.027	8.73
250.027	6.396
260.027	6.396
240.025	7.201
220.019	9.778
220.01	11.267
199.991	13.98
189.996	16.357
200	16.845
210	14.273
290.004	6.214
260.022	5.273
329.984	12.51
299.988	12.351
290.013	11.421
270.013	11.32
249.992	10.949
230.01	9.442
249.983	10.292
259.991	7.694
280.01	7.764
260.009	4.339
270.009	8.772
260.025	2.899
290.009	6.791
310.019	6.455
309.984	3.915
280.034	4.492
270.034	4.492
250.034	3.675
210.034	4.083
170	4.592
190.03	6.979
200.001	6.622
170.026	6.399
170.026	5.51
170.026	3.2
170.001	3.784
299.998	2.089
310.039	4.756
300.007	6.266
330.004	6.667
249.985	1.332
249.986	4.517
210.03	10.786
200.009	13.82
189.997	16.537
260	8.849
279.991	12.667
270.01	8.237
270.019	5.411
289.984	7.449
300.025	5.477
260.036	2.916
320.034	2.348
290	2.347
39.943	4.28
39.961	5.34
109.985	3.517
59.985	5.483
70.012	8.062
20.012	6.615
20.005	9.017
20.005	9.017
20.005	9.535
19.985	7.552
19.985	8.587
30.012	12.093
20.012	10.852
359.985	8.483
19.985	6.207
19.985	6.207
19.963	6.175
9.961	6.573
359.961	7.908
350.024	8.398
359.961	7.395
349.961	6.984
349.963	6.999
349.985	9.828
9.985	9.931
359.97	12.306
359.998	13.288
349.994	13.166
0.005	14.427
349.987	14.402
349.99	14.388
349.99	14.388
350.013	12.69
349.99	12.127
339.987	10.802
329.992	6.553
349.987	8.436
10.011	7.13
340.011	9.404
0.014	10.74
20.014	9.501
19.978	7.611
20.01	6.644
70.01	7.163
90.01	4.36
70.016	4.228
60.016	6.394
70.016	4.744
49.992	6.901
44.988	7.071
39.985	7.242
59.985	8.38
29.975	9.234
30.012	9.715
29.975	10.168
29.975	7.782
20.012	7.545
20.012	8.992
29.975	9.753
19.975	10.894
359.97	11.889
19.998	12.032
19.97	10.533
19.97	9.073
19.97	8.656
19.975	7.159
10.016	6.187
339.992	7.004
350.009	7.358
359.992	6.592
30.009	4.292
40.009	2.861
260.024	1.843
190.024	2.151
259.961	3.184
230.024	3.175
240.006	3.163
229.943	2.751
199.943	2.649
119.985	2.05
169.997	4.134
170.001	3.956
149.997	4.134
130.011	1.938
359.985	5.125
279.986	4.517
249.985	4.1
249.986	3.695
179.985	3.69
139.992	3.198
320.005	1.953
259.986	5.132
239.967	5.021
220	4.49
170.006	3.673
170.026	4.588
160.026	4.894
150.026	4.384
140.006	4.489
140.006	6.019
250.006	5.101
20.026	3.263
80.006	1.326
99.965	3.381
119.965	5.021
119.963	6.072
129.988	5.636
159.996	8.336
249.969	7.274
169.986	2.865
100.006	4.285
130.006	3.979
119.965	3.484
129.965	3.996
149.965	5.431
269.943	4.483
9.986	2.354
339.986	2.874
289.986	2.661
219.986	1.842
239.965	4.508
249.969	5.943
229.969	3.688
270.034	5.512
230.036	7.714
210.03	8.882
199.99	7.415
179.992	8.064
189.992	9.364
199.992	10.231
219.99	8.409
219.99	6.963
210.026	5.955
200.026	5.51
210.03	6.073
190.03	6.526
189.974	8.628
230.026	8.71
230.026	7.288
230.026	6.844
230.026	8.266
230.001	9.719
219.992	8.497
219.99	6.963
230.022	8.603
240.026	7.288
210.026	7.288
230.026	7.732
220.026	6.399
230.03	6.526
230.03	5.166
239.997	3.685
220.004	4.658
240.011	5.261
230.011	4.246
230.004	3.288
259.985	4.51
199.986	3.695
179.986	3.285
189.985	5.535
179.985	4.612
249.986	5.132
329.969	5.225
