    1.60     6.48   247.90 
    1.55     5.68   247.60 
    1.44     5.84   245.70 
    1.17     6.09   249.70 
    1.04     6.60   247.30 
    0.89     5.28   253.30 
    0.87     5.35   250.30 
    0.69     5.35   248.40 
    0.73     5.54   249.80 
    0.72     5.09   257.30 
    0.58     5.22   259.30 
    0.53     5.35   259.30 
    0.41     4.38   247.40 
    0.45     4.44   258.30 
    0.29     2.96   232.30 
    0.29     3.16   230.20 
    0.61     4.50   234.40 
    1.11     5.19   236.70 
    1.32     5.30   245.90 
    1.68     6.48   250.90 
    2.20     7.62   251.40 
    2.53     7.75   253.10 
    2.11     7.19   254.60 
    1.45     6.45   245.70 
    1.23     6.54   240.50 
    1.79     6.77   244.80 
    2.63     7.32   255.10 
    4.18     8.94   268.10 
    2.98     8.18   262.40 
    2.36     7.48   264.50 
    2.05     6.84   265.90 
    1.63     6.43   263.40 
    1.63     6.43   267.40 
    2.05     7.09   273.30 
    1.93     6.94   273.10 
    1.75     6.42   274.20 
    1.53     7.16   278.80 
    1.27     6.76   281.50 
    1.23     6.46   282.30 
    1.07     6.25   287.50 
    1.10     5.66   288.60 
    1.09     5.91   288.60 
    1.05     5.91   284.60 
    1.03     6.04   283.60 
    1.03     6.13   283.10 
    1.19     6.10   266.90 
    1.41     6.20   251.80 
    1.53     5.66   252.90 
    2.04     6.89   244.80 
    2.64     8.06   249.10 
    2.32     7.57   251.50 
    1.54     6.29   247.60 
    1.12     6.21   253.30 
    0.98     5.16   275.10 
    1.70     6.95   284.90 
    1.68     6.96   285.30 
    1.68     6.83   283.30 
    1.60     6.89   270.80 
    1.68     6.67   274.20 
    1.75     6.09   262.30 
    1.52     6.14   252.90 
    1.27     6.72   256.80 
    1.04     6.38   259.20 
    0.98     5.73   257.20 
    1.01     5.38   260.10 
    1.04     5.73   257.20 
    0.82     5.97   263.90 
    0.85     5.81   276.10 
    0.84     5.55   278.70 
    0.81     5.67   281.70 
    0.67     5.55   281.70 
    0.64     5.55   281.70 
    0.65     4.95   280.40 
    0.73     4.88   251.80 
    0.72     5.20   242.70 
    0.78     4.99   240.40 
    0.71     4.38   245.40 
    0.56     4.62   246.40 
    0.43     4.58   242.70 
    0.35     3.79   235.30 
    0.29     3.17   235.30 
    0.21     2.16   196.50 
    0.44     4.52   257.30 
    0.42     4.86   274.30 
    0.36     5.78   282.10 
    0.74     4.35   251.80 
    1.47     6.27   244.80 
    2.18     7.57   249.60 
    2.34     7.31   252.50 
    1.48     5.78   250.90 
    1.34     6.33   260.80 
